USER           PID %CPU %MEM   RSS TT       STAT  STARTED     TIME CMD
fannybaws    35422  0.0  0.2 68652 ?        Sl   21:28:03 00:00:00 /snap/firefox/2760/usr/lib/firefox/firefox -contentproc -childID 46 -isForBrowser -prefsLen 33485 -prefMapSize 238609 -jsInitLen 236400 -parentBuildID 20230609063420 -appDir /snap/firefox/2760/usr/lib/firefox/browser {bceaca41-4765-4cc0-8b5a-798e0bb9a673} 30433 true tab
fannybaws    35868  0.0  0.2 68336 ?        Sl   21:30:05 00:00:00 /snap/firefox/2760/usr/lib/firefox/firefox -contentproc -childID 47 -isForBrowser -prefsLen 33485 -prefMapSize 238609 -jsInitLen 236400 -parentBuildID 20230609063420 -appDir /snap/firefox/2760/usr/lib/firefox/browser {6a6d5d56-dc52-4eaa-b724-5f4ff1ddedaa} 30433 true tab
root        106456  0.0  0.2 68256 ?        Ssl  21:41:27 00:00:00 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
fannybaws    36232  0.0  0.2 68028 ?        Sl   21:32:05 00:00:00 /snap/firefox/2760/usr/lib/firefox/firefox -contentproc -childID 48 -isForBrowser -prefsLen 33485 -prefMapSize 238609 -jsInitLen 236400 -parentBuildID 20230609063420 -appDir /snap/firefox/2760/usr/lib/firefox/browser {8fbe61a9-0bff-4799-badb-81ac82e8f6a5} 30433 true tab
blackbeard   20932  0.0  0.2 66560 ?        Sl   20:10:00 00:00:01 /usr/libexec/ibus-ui-gtk3
root          2376  0.2  0.2 62432 ?        Ssl  19:34:17 00:00:16 /usr/libexec/packagekitd
fannybaws    15568  0.0  0.2 62064 ?        Sl   19:46:48 00:00:01 /usr/libexec/ibus-ui-gtk3
fannybaws    16092  0.0  0.2 55584 ?        Sl   19:46:53 00:00:00 /usr/bin/akonadi_newmailnotifier_agent --identifier akonadi_newmailnotifier_agent
blackbeard   20933  0.0  0.2 55276 ?        Sl   20:10:00 00:00:01 /usr/libexec/ibus-extension-gtk3
fannybaws    15570  0.0  0.2 54520 ?        Sl   19:46:48 00:00:01 /usr/libexec/ibus-extension-gtk3
blackbeard   21243  0.0  0.2 53264 ?        SLl  20:10:01 00:00:00 /usr/lib/x86_64-linux-gnu/libexec/kdeconnectd
fannybaws    16061  0.0  0.2 53224 ?        SNl  19:46:53 00:00:00 /usr/bin/akonadi_indexing_agent --identifier akonadi_indexing_agent
fannybaws    15854  0.0  0.2 53100 ?        Sl   19:46:48 00:00:01 /usr/lib/x86_64-linux-gnu/libexec/kdeconnectd
fannybaws    16089  0.0  0.2 52720 ?        Sl   19:46:53 00:00:01 /usr/bin/akonadi_mailmerge_agent --identifier akonadi_mailmerge_agent
blackbeard   21240  0.0  0.2 52348 ?        Sl   20:10:01 00:00:00 /usr/lib/x86_64-linux-gnu/libexec/DiscoverNotifier
fannybaws    16059  0.0  0.2 51932 ?        Sl   19:46:53 00:00:00 /usr/bin/akonadi_followupreminder_agent --identifier akonadi_followupreminder_agent
fannybaws    15862  0.0  0.2 51668 ?        Sl   19:46:48 00:00:01 /usr/lib/x86_64-linux-gnu/libexec/DiscoverNotifier
fannybaws    16093  0.0  0.2 51624 ?        Sl   19:46:53 00:00:01 /usr/bin/akonadi_notes_agent --identifier akonadi_notes_agent
fannybaws    16060  0.0  0.2 51520 ?        Sl   19:46:53 00:00:00 /usr/bin/akonadi_ical_resource --identifier akonadi_ical_resource_0
fannybaws    16063  0.0  0.2 50836 ?        Sl   19:46:53 00:00:01 /usr/bin/akonadi_maildispatcher_agent --identifier akonadi_maildispatcher_agent
fannybaws    16057  0.0  0.2 50220 ?        Sl   19:46:53 00:00:00 /usr/bin/akonadi_birthdays_resource --identifier akonadi_birthdays_resource
fannybaws    16055  0.0  0.2 49968 ?        Sl   19:46:53 00:00:00 /usr/bin/akonadi_akonotes_resource --identifier akonadi_akonotes_resource_0
fannybaws    15804  0.0  0.2 49920 ?        Sl   19:46:48 00:00:00 /usr/bin/ksmserver
fannybaws    16062  0.0  0.2 49848 ?        Sl   19:46:53 00:00:00 /usr/bin/akonadi_maildir_resource --identifier akonadi_maildir_resource_0
fannybaws    16058  0.0  0.2 49412 ?        Sl   19:46:53 00:00:00 /usr/bin/akonadi_contacts_resource --identifier akonadi_contacts_resource_0
fannybaws    16090  0.0  0.2 49388 ?        Sl   19:46:53 00:00:00 /usr/bin/akonadi_migration_agent --identifier akonadi_migration_agent
fannybaws    16016  0.0  0.1 48676 ?        Sl   19:46:53 00:00:00 /usr/bin/akonadi_control
blackbeard   21172  0.0  0.1 47724 ?        Sl   20:10:01 00:00:00 /usr/lib/x86_64-linux-gnu/libexec/org_kde_powerdevil
fannybaws    15816  0.0  0.1 47472 ?        Sl   19:46:48 00:00:00 /usr/lib/x86_64-linux-gnu/libexec/org_kde_powerdevil
blackbeard   21141  0.0  0.1 46912 ?        Sl   20:10:01 00:00:00 /usr/bin/ksmserver
fannybaws    15824  0.0  0.1 46756 ?        Sl   19:46:48 00:00:00 /usr/lib/x86_64-linux-gnu/libexec/polkit-kde-authentication-agent-1
root          1614  0.0  0.1 46256 ?        Ssl  19:34:14 00:00:02 /usr/bin/containerd
root        106935  0.0  0.1 46044 ?        Ssl  21:41:28 00:00:00 node bin/maildev --web 80 --smtp 25
blackbeard   20939  0.0  0.1 46000 ?        Sl   20:10:00 00:00:00 /usr/libexec/ibus-x11 --kill-daemon
fannybaws    15572  0.0  0.1 45748 ?        Sl   19:46:48 00:00:00 /usr/libexec/ibus-x11 --kill-daemon
fannybaws    15823  0.0  0.1 45568 ?        Sl   19:46:48 00:00:00 /usr/bin/kaccess
blackbeard   21169  0.0  0.1 45400 ?        Sl   20:10:01 00:00:00 /usr/bin/kaccess
blackbeard   20840  0.0  0.1 45076 ?        Sl   20:10:00 00:00:00 /usr/bin/startplasma-x11
blackbeard   20839  0.0  0.1 44936 ?        Sl   20:10:00 00:00:00 /usr/bin/kwalletd5 --pam-login 7 8
fannybaws    15750  0.0  0.1 44680 ?        Ssl  19:46:48 00:00:02 /usr/bin/kglobalaccel5
blackbeard   21116  0.0  0.1 44536 ?        Ssl  20:10:01 00:00:00 /usr/bin/kglobalaccel5
blackbeard   21036  0.0  0.1 44112 ?        Ssl  20:10:00 00:00:00 /usr/lib/x86_64-linux-gnu/libexec/xdg-desktop-portal-kde
fannybaws    15719  0.0  0.1 44040 ?        Ssl  19:46:48 00:00:00 /usr/lib/x86_64-linux-gnu/libexec/xdg-desktop-portal-kde
fannybaws    15488  0.0  0.1 44040 ?        Sl   19:46:48 00:00:00 /usr/bin/kwalletd5 --pam-login 7 8
blackbeard   21481  0.0  0.1 43780 ?        Ssl  20:10:11 00:00:00 /usr/lib/x86_64-linux-gnu/libexec/baloorunner
blackbeard   21077  0.0  0.1 42776 ?        Sl   20:10:01 00:00:00 /usr/lib/x86_64-linux-gnu/libexec/kf5/klauncher --fd=9
fannybaws    15727  0.0  0.1 42616 ?        Sl   19:46:48 00:00:00 /usr/lib/x86_64-linux-gnu/libexec/kf5/klauncher --fd=9
fannybaws    31185  0.0  0.1 40316 ?        Sl   20:57:49 00:00:00 /snap/firefox/2760/usr/lib/firefox/firefox -contentproc -parentBuildID 20230609063420 -prefsLen 39882 -prefMapSize 238609 -appDir /snap/firefox/2760/usr/lib/firefox/browser {309f3fe8-8de2-41d8-9967-01500be53dc4} 30433 true rdd
root         38127  0.0  0.1 39852 ?        S<s  21:33:53 00:00:00 /lib/systemd/systemd-journald
