USER           PID %CPU %MEM   RSS TT       STAT  STARTED     TIME CMD
syslog        1487  0.0  0.0  5772 ?        Ssl  19:34:14 00:00:00 /usr/sbin/rsyslogd -n -iNONE
fannybaws    19850  0.0  0.0  5720 pts/5    S    19:52:04 00:00:00 bash
root          1494  0.0  0.0  5684 ?        Ss   19:34:14 00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
bonny        28268  0.0  0.0  5672 tty6     S+   20:46:26 00:00:00 -bash
fannybaws   117076  0.0  0.0  5668 pts/10   Ss   21:41:53 00:00:00 /bin/bash
blackbeard   21249  0.0  0.0  5624 ?        Sl   20:10:01 00:00:00 /usr/libexec/geoclue-2.0/demos/agent
systemd-c+  106789  0.1  0.0  5600 ?        Ssl  21:41:28 00:00:00 redis-server *:6379
fannybaws    15974  0.0  0.0  5584 ?        Sl   19:46:53 00:00:00 /usr/libexec/geoclue-2.0/demos/agent
admin         5175  0.0  0.0  5564 ?        Ss   19:34:52 00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
admin         5612  0.0  0.0  5556 ?        Sl   19:34:53 00:00:00 /usr/libexec/geoclue-2.0/demos/agent
otter       160809  0.0  0.0  5528 pts/10   S    21:47:22 00:00:00 bash
admin        10407  0.0  0.0  5468 ?        Sl   19:36:16 00:00:00 /usr/libexec/geoclue-2.0/demos/agent
lp          119082  0.0  0.0  5452 ?        S    21:42:07 00:00:00 /usr/lib/cups/notifier/dbus dbus://
root         41823  0.0  0.0  5440 pts/8    S+   21:35:46 00:00:00 sudo wireshark
blackbeard   21022  0.0  0.0  5432 ?        Ssl  20:10:00 00:00:00 /usr/libexec/xdg-permission-store
admin        27467  0.0  0.0  5376 tty4     S+   20:44:21 00:00:00 -bash
fannybaws    15667  0.0  0.0  5332 ?        Ssl  19:46:48 00:00:00 /usr/libexec/xdg-permission-store
root          1468  0.0  0.0  5308 ?        Ss   19:34:14 00:00:00 /usr/lib/bluetooth/bluetoothd
lp          119079  0.0  0.0  5260 ?        S    21:42:07 00:00:00 /usr/lib/cups/notifier/dbus dbus://
admin         5390  0.0  0.0  5252 ?        Ssl  19:34:53 00:00:00 /usr/libexec/xdg-permission-store
lp          119081  0.0  0.0  5204 ?        S    21:42:07 00:00:00 /usr/lib/cups/notifier/dbus dbus://
root        106293  0.0  0.0  5056 pts/9    S+   21:40:43 00:00:00 /usr/bin/dumpcap -n -i enp9s0 -y EN10MB -Z none
lp          119080  0.0  0.0  5024 ?        S    21:42:07 00:00:00 /usr/lib/cups/notifier/dbus dbus://
blackbeard   40022  0.0  0.0  5020 pts/8    Ss   21:34:35 00:00:00 /bin/bash
root        160808  0.0  0.0  4996 pts/10   S    21:47:20 00:00:00 su otter
root          1353  0.0  0.0  4980 ?        Ss   19:34:14 00:00:00 /usr/sbin/haveged --Foreground --verbose=1
blackbeard   28450  0.0  0.0  4972 ?        Sl   20:51:20 00:00:00 /usr/lib/libreoffice/program/oosplash --writer
fannybaws    18472  0.0  0.0  4968 pts/5    Ss   19:49:56 00:00:00 /bin/bash
wkidd        29460  0.0  0.0  4908 pts/2    S    20:55:00 00:00:00 bash
j.silver     28193  0.0  0.0  4812 ?        S    20:44:54 00:00:00 (sd-pam)
bonny        28261  0.0  0.0  4812 ?        S    20:46:26 00:00:00 (sd-pam)
blackbeard   41256  0.0  0.0  4784 pts/8    S    21:35:08 00:00:00 bash
otter        29355  0.0  0.0  4764 pts/1    S    20:53:17 00:00:00 bash
fannybaws    29412  0.0  0.0  4760 pts/2    Ss   20:54:49 00:00:00 /bin/bash
fannybaws    18390  0.0  0.0  4756 pts/4    Ss   19:48:43 00:00:00 /bin/bash
blackbeard   20827  0.0  0.0  4736 ?        S    20:10:00 00:00:00 (sd-pam)
fannybaws    15476  0.0  0.0  4728 ?        S    19:46:48 00:00:00 (sd-pam)
systemd-c+  107065  0.0  0.0  4712 ?        Ss   21:41:29 00:00:00 postgres: bgworker: logical replication launcher   
j.silver     28200  0.0  0.0  4660 tty5     S    20:44:54 00:00:00 -bash
admin         5149  0.0  0.0  4620 ?        S    19:34:52 00:00:00 (sd-pam)
root         29459  0.0  0.0  4580 pts/2    S    20:54:59 00:00:00 su wkidd
root         29354  0.0  0.0  4576 pts/1    S    20:53:15 00:00:00 su otter
blackbeard   29346  0.0  0.0  4540 pts/1    Ss   20:53:09 00:00:00 /bin/bash
root         25554  0.0  0.0  4316 tty4     Ss   20:36:16 00:00:00 /bin/login -p --
root         25544  0.0  0.0  4316 tty6     Ss   20:36:03 00:00:00 /bin/login -p --
root         25538  0.0  0.0  4316 tty5     Ss   20:35:59 00:00:00 /bin/login -p --
admin         5331  0.0  0.0  4300 ?        S    19:34:53 00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1003/at-spi/bus_0
fannybaws    15646  0.0  0.0  4236 ?        S    19:46:48 00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_2
blackbeard   21007  0.0  0.0  4204 ?        S    20:10:00 00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1006/at-spi/bus_1
systemd-c+  107061  0.0  0.0  3828 ?        Ss   21:41:29 00:00:00 postgres: writer process   
root          1479  0.0  0.0  3808 ?        Ssl  19:34:14 00:00:00 /usr/sbin/irqbalance --foreground
avahi       119188  0.0  0.0  3764 ?        Ss   21:42:09 00:00:00 avahi-daemon: running [desktop.local]
root        106696  0.0  0.0  3620 ?        Sl   21:41:28 00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 6379 -container-ip 172.21.0.2 -container-port 6379
fannybaws   161015  0.0  0.0  3556 pts/5    R+   21:49:09 00:00:00 ps -axo user:10,pid,%cpu,%mem,rss,tty,stat,start,time,cmd
root         41832  0.0  0.0  3328 ?        Ss   21:35:46 00:00:00 /usr/bin/dbus-daemon --syslog-only --fork --print-pid 5 --print-address 7 --session
root        106855  0.0  0.0  3012 ?        Sl   21:41:28 00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 1025 -container-ip 172.21.0.4 -container-port 1025
root        106848  0.0  0.0  3012 ?        Sl   21:41:28 00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 1025 -container-ip 172.21.0.4 -container-port 1025
root        106832  0.0  0.0  3012 ?        Sl   21:41:28 00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 1080 -container-ip 172.21.0.4 -container-port 1080
root        106824  0.0  0.0  3012 ?        Sl   21:41:28 00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 1080 -container-ip 172.21.0.4 -container-port 1080
root        106753  0.0  0.0  3012 ?        Sl   21:41:28 00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 5432 -container-ip 172.21.0.3 -container-port 5432
root        106690  0.0  0.0  3012 ?        Sl   21:41:28 00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 6379 -container-ip 172.21.0.2 -container-port 6379
root        106747  0.0  0.0  3004 ?        Sl   21:41:28 00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 5432 -container-ip 172.21.0.3 -container-port 5432
root          1469  0.0  0.0  2952 ?        Ss   19:34:14 00:00:00 /usr/sbin/cron -f -P
systemd-c+  107064  0.0  0.0  2940 ?        Ss   21:41:29 00:00:00 postgres: stats collector process   
blackbeard   26950  0.3  0.0  2508 ?        Sl   20:42:48 00:00:14 /usr/lib/x86_64-linux-gnu/libexec/ksysguard/ksgrd_network_helper
otter       160843  0.2  0.0  2224 pts/1    S+   21:47:41 00:00:00 nc localhost 8745
wkidd       160820  0.7  0.0  2196 pts/2    S+   21:47:34 00:00:00 pv -L 10m
root         41831  0.0  0.0  1968 pts/9    S+   21:35:46 00:00:00 dbus-launch --autolaunch 8fa041065b1d44f18030929305821409 --binary-syntax --close-stderr
root          1588  0.0  0.0  1700 ?        Ss   19:34:14 00:00:00 /bin/sh /snap/cups/962/scripts/run-cupsd
rtkit         2159  0.0  0.0  1544 ?        SNsl 19:34:16 00:00:00 /usr/libexec/rtkit-daemon
j.silver     35407  0.0  0.0  1328 tty5     S+   21:28:01 00:00:00 stress --vm 4
fannybaws    18417  0.0  0.0  1200 pts/4    S+   19:49:14 00:00:00 ping 8.8.8.8
root          1463  0.0  0.0  1132 ?        Ss   19:34:14 00:00:00 /usr/sbin/acpid
root         41255  0.0  0.0  1084 pts/8    S    21:35:08 00:00:00 newgrp
fannybaws    15547  0.0  0.0  1076 ?        Ss   19:46:48 00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch /usr/bin/startplasma-x11
blackbeard   20902  0.0  0.0  1076 ?        Ss   20:10:00 00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch /usr/bin/startplasma-x11
root         19849  0.0  0.0  1072 pts/5    S    19:52:04 00:00:00 newgrp
root         39148  0.0  0.0  1060 ?        S    21:34:16 00:00:00 sleep 3600
root         21028  0.0  0.0   980 ?        Ss   20:10:00 00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1006/doc
root         15675  0.0  0.0   980 ?        Ss   19:46:48 00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
root          5396  0.0  0.0   976 ?        Ss   19:34:53 00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1003/doc
wkidd       160819  0.8  0.0   936 pts/2    S+   21:47:34 00:00:00 head -c 1000m
root          1587  0.0  0.0   848 ?        Ss   19:34:14 00:00:00 /bin/sh /snap/cups/962/scripts/run-cups-browsed
root         41824  0.0  0.0   648 pts/9    Ss   21:35:46 00:00:00 sudo wireshark
kernoops      3039  0.0  0.0   456 ?        Ss   19:34:26 00:00:00 /usr/sbin/kerneloops
kernoops      3037  0.0  0.0   456 ?        Ss   19:34:26 00:00:00 /usr/sbin/kerneloops --test
avahi       119189  0.0  0.0   344 ?        S    21:42:09 00:00:00 avahi-daemon: chroot helper
root          2146  0.0  0.0   116 ?        S    19:34:16 00:00:00 /bin/sh /snap/cups/962/scripts/run-cups-browsed
blackbeard   21074  0.0  0.0   104 ?        S    20:10:01 00:00:00 /usr/lib/x86_64-linux-gnu/libexec/kf5/start_kdeinit
fannybaws    15724  0.0  0.0   100 ?        S    19:46:48 00:00:00 /usr/lib/x86_64-linux-gnu/libexec/kf5/start_kdeinit
root        160848  0.0  0.0     0 ?        I    21:48:15 00:00:00 [kworker/3:1-events]
root        117471  0.0  0.0     0 ?        I    21:42:01 00:00:00 [kworker/3:3-events]
root        114689  0.0  0.0     0 ?        S    21:41:41 00:00:00 [jfsSync]
root        114688  0.0  0.0     0 ?        S    21:41:41 00:00:00 [jfsCommit]
root        114687  0.0  0.0     0 ?        S    21:41:41 00:00:00 [jfsCommit]
root        114686  0.0  0.0     0 ?        S    21:41:41 00:00:00 [jfsCommit]
root        114685  0.0  0.0     0 ?        S    21:41:41 00:00:00 [jfsCommit]
root        114684  0.0  0.0     0 ?        S    21:41:41 00:00:00 [jfsCommit]
root        114683  0.0  0.0     0 ?        S    21:41:41 00:00:00 [jfsCommit]
root        114682  0.0  0.0     0 ?        S    21:41:41 00:00:00 [jfsCommit]
root        114681  0.0  0.0     0 ?        S    21:41:41 00:00:00 [jfsCommit]
root        114680  0.0  0.0     0 ?        S    21:41:41 00:00:00 [jfsCommit]
root        114679  0.0  0.0     0 ?        S    21:41:41 00:00:00 [jfsCommit]
root        114678  0.0  0.0     0 ?        S    21:41:41 00:00:00 [jfsCommit]
root        114677  0.0  0.0     0 ?        S    21:41:41 00:00:00 [jfsCommit]
root        114676  0.0  0.0     0 ?        S    21:41:41 00:00:00 [jfsIO]
root        114673  0.0  0.0     0 ?        I<   21:41:41 00:00:00 [xfs_mru_cache]
root        114672  0.0  0.0     0 ?        I<   21:41:41 00:00:00 [xfsalloc]
root        112985  0.0  0.0     0 ?        I    21:41:38 00:00:00 [kworker/10:2-events]
root        106455  0.0  0.0     0 ?        I    21:41:26 00:00:00 [kworker/5:3-rcu_par_gp]
root        106443  0.0  0.0     0 ?        I    21:41:26 00:00:00 [kworker/6:2-rcu_par_gp]
root        106442  0.0  0.0     0 ?        I    21:41:26 00:00:00 [kworker/11:3-rcu_par_gp]
root        106434  0.0  0.0     0 ?        I    21:41:26 00:00:00 [kworker/9:1-events]
root        106421  0.0  0.0     0 ?        I    21:41:26 00:00:00 [kworker/5:2-events]
root        106413  0.0  0.0     0 ?        I    21:41:26 00:00:00 [kworker/1:3-events]
root        106398  0.0  0.0     0 ?        I    21:41:26 00:00:00 [kworker/8:2-events]
root        106334  0.0  0.0     0 ?        I    21:41:26 00:00:00 [kworker/2:1-events]
root        105994  0.0  0.0     0 ?        I    21:38:41 00:00:00 [kworker/4:1-events]
root        105475  0.0  0.0     0 ?        I    21:38:33 00:00:00 [kworker/6:1-events]
root        105471  0.0  0.0     0 ?        I    21:38:33 00:00:00 [kworker/0:0-rcu_par_gp]
root         53101  0.1  0.0     0 ?        I    21:37:10 00:00:01 [kworker/u64:7-events_unbound]
root         39582  0.2  0.0     0 ?        I    21:34:28 00:00:01 [kworker/u64:6-events_unbound]
root         38126  0.0  0.0     0 ?        I    21:33:53 00:00:00 [kworker/7:1-events]
root         36302  0.0  0.0     0 ?        I    21:32:37 00:00:00 [kworker/4:0-events]
root         36257  0.0  0.0     0 ?        I    21:32:06 00:00:00 [kworker/9:0-rcu_par_gp]
root         36256  0.0  0.0     0 ?        I    21:32:06 00:00:00 [kworker/0:2-events]
root         36164  0.2  0.0     0 ?        I    21:31:28 00:00:02 [kworker/u64:2-events_unbound]
root         36055  0.0  0.0     0 ?        I    21:30:34 00:00:00 [kworker/3:0-events]
root         35483  0.0  0.0     0 ?        I    21:28:34 00:00:00 [kworker/8:1-rcu_gp]
root         35318  0.0  0.0     0 ?        I    21:26:34 00:00:00 [kworker/1:1-rcu_par_gp]
root         34860  0.0  0.0     0 ?        I    21:23:54 00:00:00 [kworker/7:3-events]
root         34858  0.0  0.0     0 ?        I    21:23:54 00:00:00 [kworker/11:1-events]
root         34855  0.1  0.0     0 ?        I    21:23:54 00:00:02 [kworker/u64:4-events_unbound]
root         34854  0.1  0.0     0 ?        I    21:23:54 00:00:01 [kworker/u64:3-events_freezable_power_]
root         33021  0.0  0.0     0 ?        I    21:04:47 00:00:00 [kworker/2:0-rcu_par_gp]
root         29480  0.0  0.0     0 ?        I    20:55:28 00:00:00 [kworker/10:1-events]
root         27270  0.0  0.0     0 ?        I<   20:43:25 00:00:00 [cfg80211]
root          2434  0.0  0.0     0 ?        S<   19:34:17 00:00:00 [krfcommd]
root          1281  0.0  0.0     0 ?        I<   19:34:14 00:00:00 [kworker/u65:1-hci0]
root           757  0.0  0.0     0 ?        I<   19:34:13 00:00:00 [ext4-rsv-conver]
root           756  0.0  0.0     0 ?        S    19:34:13 00:00:02 [jbd2/sda3-8]
root           499  0.0  0.0     0 ?        S    19:34:13 00:00:00 [jpeg_dec]
root           498  0.0  0.0     0 ?        S    19:34:13 00:00:00 [vcn_enc_0.1]
root           497  0.0  0.0     0 ?        S    19:34:13 00:00:00 [vcn_enc_0.0]
root           496  0.0  0.0     0 ?        S    19:34:13 00:00:00 [vcn_dec_0]
root           495  0.0  0.0     0 ?        S    19:34:13 00:00:00 [sdma1]
root           494  0.0  0.0     0 ?        S    19:34:13 00:00:00 [sdma0]
root           493  0.0  0.0     0 ?        S    19:34:13 00:00:00 [comp_1.3.1]
root           492  0.0  0.0     0 ?        S    19:34:13 00:00:00 [comp_1.2.1]
root           491  0.0  0.0     0 ?        S    19:34:13 00:00:00 [comp_1.1.1]
root           490  0.0  0.0     0 ?        S    19:34:13 00:00:00 [comp_1.0.1]
root           489  0.0  0.0     0 ?        S    19:34:13 00:00:00 [comp_1.3.0]
root           488  0.0  0.0     0 ?        S    19:34:13 00:00:00 [comp_1.2.0]
root           487  0.0  0.0     0 ?        S    19:34:13 00:00:00 [comp_1.1.0]
root           486  0.0  0.0     0 ?        S    19:34:13 00:00:00 [comp_1.0.0]
root           485  0.1  0.0     0 ?        S    19:34:13 00:00:08 [gfx_0.0.0]
root           484  0.0  0.0     0 ?        S    19:34:13 00:00:00 [card0-crtc5]
root           483  0.0  0.0     0 ?        S    19:34:13 00:00:00 [card0-crtc4]
root           482  0.0  0.0     0 ?        S    19:34:13 00:00:00 [card0-crtc3]
root           481  0.0  0.0     0 ?        S    19:34:13 00:00:00 [card0-crtc2]
root           480  0.0  0.0     0 ?        S    19:34:13 00:00:00 [card0-crtc1]
root           479  0.0  0.0     0 ?        S    19:34:13 00:00:00 [card0-crtc0]
root           478  0.0  0.0     0 ?        I<   19:34:12 00:00:00 [dm_vblank_contr]
root           477  0.0  0.0     0 ?        I<   19:34:12 00:00:00 [amdgpu_dm_hpd_r]
root           476  0.0  0.0     0 ?        I<   19:34:12 00:00:00 [amdgpu_dm_hpd_r]
root           475  0.0  0.0     0 ?        I<   19:34:12 00:00:00 [amdgpu_dm_hpd_r]
root           474  0.0  0.0     0 ?        I<   19:34:12 00:00:00 [amdgpu_dm_hpd_r]
root           441  0.0  0.0     0 ?        I<   19:34:10 00:00:00 [amdgpu-reset-de]
root           435  0.0  0.0     0 ?        I<   19:34:09 00:00:00 [amd_iommu_v2]
root           409  0.0  0.0     0 ?        I<   19:34:09 00:00:00 [kworker/8:1H-kblockd]
root           393  0.0  0.0     0 ?        I<   19:34:09 00:00:00 [uas]
root           385  0.0  0.0     0 ?        S    19:34:08 00:00:00 [usb-storage]
root           384  0.0  0.0     0 ?        I<   19:34:08 00:00:00 [scsi_tmf_8]
root           383  0.0  0.0     0 ?        S    19:34:08 00:00:00 [scsi_eh_8]
root           350  0.0  0.0     0 ?        I<   19:34:08 00:00:00 [kworker/11:1H-kblockd]
root           314  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [kworker/4:1H-kblockd]
root           311  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [kworker/7:1H-kblockd]
root           308  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [kworker/10:1H-kblockd]
root           306  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [kworker/3:1H-kblockd]
root           299  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [kworker/1:1H-kblockd]
root           297  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [cryptd]
root           277  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [scsi_tmf_7]
root           276  0.0  0.0     0 ?        S    19:34:07 00:00:00 [scsi_eh_7]
root           275  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [scsi_tmf_6]
root           274  0.0  0.0     0 ?        S    19:34:07 00:00:00 [scsi_eh_6]
root           273  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [scsi_tmf_5]
root           272  0.0  0.0     0 ?        S    19:34:07 00:00:00 [scsi_eh_5]
root           271  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [scsi_tmf_4]
root           270  0.0  0.0     0 ?        S    19:34:07 00:00:00 [scsi_eh_4]
root           269  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [scsi_tmf_3]
root           268  0.0  0.0     0 ?        S    19:34:07 00:00:00 [scsi_eh_3]
root           267  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [scsi_tmf_2]
root           266  0.0  0.0     0 ?        S    19:34:07 00:00:00 [scsi_eh_2]
root           265  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [nvme-delete-wq]
root           264  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [nvme-reset-wq]
root           263  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [scsi_tmf_1]
root           262  0.0  0.0     0 ?        S    19:34:07 00:00:00 [scsi_eh_1]
root           261  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [nvme-wq]
root           259  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [scsi_tmf_0]
root           258  0.0  0.0     0 ?        S    19:34:07 00:00:00 [scsi_eh_0]
root           252  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [kworker/9:1H-kblockd]
root           243  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [kworker/2:1H-kblockd]
root           229  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [kworker/6:1H-kblockd]
root           207  0.0  0.0     0 ?        S    19:34:07 00:00:00 [irq/26-ACPI:Event]
root           206  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [charger_manager]
root           160  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [kworker/u65:0-hci0]
root           159  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [zswap-shrink]
root           153  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [kstrp]
root           148  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [ipv6_addrconf]
root           147  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [kworker/5:1H-kblockd]
root           146  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [mld]
root           145  0.0  0.0     0 ?        I<   19:34:07 00:00:00 [vfio-irqfd-clea]
root           144  0.0  0.0     0 ?        S    19:34:07 00:00:00 [xenbus_probe]
root           139  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [acpi_thermal_pm]
root           130  0.0  0.0     0 ?        S    19:34:05 00:00:00 [irq/32-aerdrv]
root           129  0.0  0.0     0 ?        S    19:34:05 00:00:00 [irq/31-aerdrv]
root           128  0.0  0.0     0 ?        S    19:34:05 00:00:00 [irq/29-aerdrv]
root           127  0.0  0.0     0 ?        S    19:34:05 00:00:00 [irq/28-aerdrv]
root           126  0.0  0.0     0 ?        S    19:34:05 00:00:00 [irq/27-aerdrv]
root           119  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [kthrotld]
root           112  0.0  0.0     0 ?        S    19:34:05 00:00:00 [ecryptfs-kthread]
root           111  0.0  0.0     0 ?        S    19:34:05 00:00:00 [kswapd0]
root           110  0.0  0.0     0 ?        S    19:34:05 00:00:00 [irq/25-AMD-Vi]
root           109  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [kworker/0:1H-kblockd]
root           107  0.0  0.0     0 ?        S    19:34:05 00:00:00 [watchdogd]
root           106  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [devfreq_wq]
root           105  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [edac-poller]
root           104  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [md]
root           103  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [ata_sff]
root           102  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [tpm_dev_wq]
root           100  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [blkcg_punt_bio]
root            99  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [kblockd]
root            98  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [kintegrityd]
root            97  0.0  0.0     0 ?        SN   19:34:05 00:00:00 [khugepaged]
root            96  0.0  0.0     0 ?        SN   19:34:05 00:00:00 [ksmd]
root            95  0.0  0.0     0 ?        S    19:34:05 00:00:02 [kcompactd0]
root            94  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [writeback]
root            91  0.0  0.0     0 ?        S    19:34:05 00:00:00 [oom_reaper]
root            90  0.0  0.0     0 ?        S    19:34:05 00:00:00 [khungtaskd]
root            88  0.0  0.0     0 ?        S    19:34:05 00:00:00 [kauditd]
root            87  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [inet_frag_wq]
root            86  0.0  0.0     0 ?        S    19:34:05 00:00:00 [kdevtmpfs]
root            85  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [kworker/11:0H-events_highpri]
root            83  0.0  0.0     0 ?        S    19:34:05 00:00:00 [ksoftirqd/11]
root            82  0.0  0.0     0 ?        S    19:34:05 00:00:00 [migration/11]
root            81  0.0  0.0     0 ?        S    19:34:05 00:00:00 [idle_inject/11]
root            80  0.0  0.0     0 ?        S    19:34:05 00:00:00 [cpuhp/11]
root            79  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [kworker/10:0H-events_highpri]
root            77  0.0  0.0     0 ?        S    19:34:05 00:00:00 [ksoftirqd/10]
root            76  0.0  0.0     0 ?        S    19:34:05 00:00:00 [migration/10]
root            75  0.0  0.0     0 ?        S    19:34:05 00:00:00 [idle_inject/10]
root            74  0.0  0.0     0 ?        S    19:34:05 00:00:00 [cpuhp/10]
root            73  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [kworker/9:0H-events_highpri]
root            71  0.0  0.0     0 ?        S    19:34:05 00:00:00 [ksoftirqd/9]
root            70  0.0  0.0     0 ?        S    19:34:05 00:00:00 [migration/9]
root            69  0.0  0.0     0 ?        S    19:34:05 00:00:00 [idle_inject/9]
root            68  0.0  0.0     0 ?        S    19:34:05 00:00:00 [cpuhp/9]
root            67  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [kworker/8:0H-events_highpri]
root            65  0.0  0.0     0 ?        S    19:34:05 00:00:00 [ksoftirqd/8]
root            64  0.0  0.0     0 ?        S    19:34:05 00:00:00 [migration/8]
root            63  0.0  0.0     0 ?        S    19:34:05 00:00:00 [idle_inject/8]
root            62  0.0  0.0     0 ?        S    19:34:05 00:00:00 [cpuhp/8]
root            61  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [kworker/7:0H-events_highpri]
root            59  0.0  0.0     0 ?        S    19:34:05 00:00:00 [ksoftirqd/7]
root            58  0.0  0.0     0 ?        S    19:34:05 00:00:00 [migration/7]
root            57  0.0  0.0     0 ?        S    19:34:05 00:00:00 [idle_inject/7]
root            56  0.0  0.0     0 ?        S    19:34:05 00:00:00 [cpuhp/7]
root            55  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [kworker/6:0H-events_highpri]
root            53  0.0  0.0     0 ?        S    19:34:05 00:00:00 [ksoftirqd/6]
root            52  0.0  0.0     0 ?        S    19:34:05 00:00:00 [migration/6]
root            51  0.0  0.0     0 ?        S    19:34:05 00:00:00 [idle_inject/6]
root            50  0.0  0.0     0 ?        S    19:34:05 00:00:00 [cpuhp/6]
root            49  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [kworker/5:0H-events_highpri]
root            47  0.0  0.0     0 ?        S    19:34:05 00:00:00 [ksoftirqd/5]
root            46  0.0  0.0     0 ?        S    19:34:05 00:00:00 [migration/5]
root            45  0.0  0.0     0 ?        S    19:34:05 00:00:00 [idle_inject/5]
root            44  0.0  0.0     0 ?        S    19:34:05 00:00:00 [cpuhp/5]
root            43  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [kworker/4:0H-events_highpri]
root            41  0.0  0.0     0 ?        S    19:34:05 00:00:00 [ksoftirqd/4]
root            40  0.0  0.0     0 ?        S    19:34:05 00:00:00 [migration/4]
root            39  0.0  0.0     0 ?        S    19:34:05 00:00:00 [idle_inject/4]
root            38  0.0  0.0     0 ?        S    19:34:05 00:00:00 [cpuhp/4]
root            37  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [kworker/3:0H-events_highpri]
root            35  0.0  0.0     0 ?        S    19:34:05 00:00:00 [ksoftirqd/3]
root            34  0.0  0.0     0 ?        S    19:34:05 00:00:00 [migration/3]
root            33  0.0  0.0     0 ?        S    19:34:05 00:00:00 [idle_inject/3]
root            32  0.0  0.0     0 ?        S    19:34:05 00:00:00 [cpuhp/3]
